;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
59;38;UKR;Ukraine;Kiev;Europe;603500;65.7858;0.912;0.5;-0.07126660612686125;0.0569984368987167;0.03233480583472339;-0.05253094811326817;-0.1208434248494085;-0.038818668292945606;-0.09583145087006582;48879755;2000
60;38;UKR;Ukraine;Kiev;Europe;603500;65.7858;0.912;0.5;-0.07126660612686125;0.0569984368987167;0.03233480583472339;-0.05253094811326817;-0.1208434248494085;-0.038818668292945606;-0.09583145087006582;45683020;2010
61;38;UKR;Ukraine;Kiev;Europe;603500;65.7858;0.912;0.5;-0.07126660612686125;0.0569984368987167;0.03233480583472339;-0.05253094811326817;-0.1208434248494085;-0.038818668292945606;-0.09583145087006582;44982564;2015
62;38;UKR;Ukraine;Kiev;Europe;603500;65.7858;0.912;0.5;-0.07126660612686125;0.0569984368987167;0.03233480583472339;-0.05253094811326817;-0.1208434248494085;-0.038818668292945606;-0.09583145087006582;43909666;2020
63;38;UKR;Ukraine;Kiev;Europe;603500;65.7858;0.912;0.5;-0.07126660612686125;0.0569984368987167;0.03233480583472339;-0.05253094811326817;-0.1208434248494085;-0.038818668292945606;-0.09583145087006582;39701739;2022
64;64;ROU;Romania;Bucharest;Europe;238391;82.4665;1.0171;0.25;-0.02412233171363322;0.11055806019068377;0.032135719846271386;-0.040127369512854005;-0.11409841004575026;-0.04392248499413161;0.011173159933130467;19922618;1970
65;64;ROU;Romania;Bucharest;Europe;238391;82.4665;1.0171;0.25;-0.02412233171363322;0.11055806019068377;0.032135719846271386;-0.040127369512854005;-0.11409841004575026;-0.04392248499413161;0.011173159933130467;22125224;1980
66;64;ROU;Romania;Bucharest;Europe;238391;82.4665;1.0171;0.25;-0.02412233171363322;0.11055806019068377;0.032135719846271386;-0.040127369512854005;-0.11409841004575026;-0.04392248499413161;0.011173159933130467;22836234;1990
67;64;ROU;Romania;Bucharest;Europe;238391;82.4665;1.0171;0.25;-0.02412233171363322;0.11055806019068377;0.032135719846271386;-0.040127369512854005;-0.11409841004575026;-0.04392248499413161;0.011173159933130467;21919876;2000
68;64;ROU;Romania;Bucharest;Europe;238391;82.4665;1.0171;0.25;-0.02412233171363322;0.11055806019068377;0.032135719846271386;-0.040127369512854005;-0.11409841004575026;-0.04392248499413161;0.011173159933130467;20335211;2010
69;64;ROU;Romania;Bucharest;Europe;238391;82.4665;1.0171;0.25;-0.02412233171363322;0.11055806019068377;0.032135719846271386;-0.040127369512854005;-0.11409841004575026;-0.04392248499413161;0.011173159933130467;19906079;2015
70;64;ROU;Romania;Bucharest;Europe;238391;82.4665;1.0171;0.25;-0.02412233171363322;0.11055806019068377;0.032135719846271386;-0.040127369512854005;-0.11409841004575026;-0.04392248499413161;0.011173159933130467;19442038;2020
71;64;ROU;Romania;Bucharest;Europe;238391;82.4665;1.0171;0.25;-0.02412233171363322;0.11055806019068377;0.032135719846271386;-0.040127369512854005;-0.11409841004575026;-0.04392248499413161;0.011173159933130467;19659267;2022
72;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;0.33724320404709857;0.08381096154639711;0.05761774252892012;0.06387526742193876;0.10519867904763372;0.04919271190018774;0.007425310548469915;13037686;1970
73;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;0.33724320404709857;0.08381096154639711;0.05761774252892012;0.06387526742193876;0.10519867904763372;0.04919271190018774;0.007425310548469915;14130387;1980
74;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;0.33724320404709857;0.08381096154639711;0.05761774252892012;0.06387526742193876;0.10519867904763372;0.04919271190018774;0.007425310548469915;14944548;1990
75;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;0.33724320404709857;0.08381096154639711;0.05761774252892012;0.06387526742193876;0.10519867904763372;0.04919271190018774;0.007425310548469915;15899135;2000
76;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;0.33724320404709857;0.08381096154639711;0.05761774252892012;0.06387526742193876;0.10519867904763372;0.04919271190018774;0.007425310548469915;16617116;2010
77;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;0.33724320404709857;0.08381096154639711;0.05761774252892012;0.06387526742193876;0.10519867904763372;0.04919271190018774;0.007425310548469915;17041107;2015
78;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;0.33724320404709857;0.08381096154639711;0.05761774252892012;0.06387526742193876;0.10519867904763372;0.04919271190018774;0.007425310548469915;17434557;2020
79;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;0.33724320404709857;0.08381096154639711;0.05761774252892012;0.06387526742193876;0.10519867904763372;0.04919271190018774;0.007425310548469915;17564014;2022
80;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;0.20067146614692374;0.020729276746489077;0.01328458500195239;0.030602054709244184;0.08947352986937401;0.0628583684035232;0.0081487031727208;9629376;1970
81;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;0.20067146614692374;0.020729276746489077;0.01328458500195239;0.030602054709244184;0.08947352986937401;0.0628583684035232;0.0081487031727208;9828986;1980
82;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;0.20067146614692374;0.020729276746489077;0.01328458500195239;0.030602054709244184;0.08947352986937401;0.0628583684035232;0.0081487031727208;9959560;1990
