;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;value;Year
154;226;WLF;Wallis and Futuna;Mata-Utu;Oceania;142;81.493;0.9953;0.0;1.2429348405673457;13454;1990
155;226;WLF;Wallis and Futuna;Mata-Utu;Oceania;142;81.493;0.9953;0.0;1.2429348405673457;14723;2000
156;226;WLF;Wallis and Futuna;Mata-Utu;Oceania;142;81.493;0.9953;0.0;1.2429348405673457;13142;2010
157;226;WLF;Wallis and Futuna;Mata-Utu;Oceania;142;81.493;0.9953;0.0;1.2429348405673457;12182;2015
158;226;WLF;Wallis and Futuna;Mata-Utu;Oceania;142;81.493;0.9953;0.0;1.2429348405673457;11655;2020
159;226;WLF;Wallis and Futuna;Mata-Utu;Oceania;142;81.493;0.9953;0.0;1.2429348405673457;11572;2022
160;227;TUV;Tuvalu;Funafuti;Oceania;26;435.0769;1.0096;0.0;1.9038527691778466;5814;1970
161;227;TUV;Tuvalu;Funafuti;Oceania;26;435.0769;1.0096;0.0;1.9038527691778466;7731;1980
162;227;TUV;Tuvalu;Funafuti;Oceania;26;435.0769;1.0096;0.0;1.9038527691778466;9182;1990
163;227;TUV;Tuvalu;Funafuti;Oceania;26;435.0769;1.0096;0.0;1.9038527691778466;9638;2000
164;227;TUV;Tuvalu;Funafuti;Oceania;26;435.0769;1.0096;0.0;1.9038527691778466;10550;2010
165;227;TUV;Tuvalu;Funafuti;Oceania;26;435.0769;1.0096;0.0;1.9038527691778466;10877;2015
166;227;TUV;Tuvalu;Funafuti;Oceania;26;435.0769;1.0096;0.0;1.9038527691778466;11069;2020
167;227;TUV;Tuvalu;Funafuti;Oceania;26;435.0769;1.0096;0.0;1.9038527691778466;11312;2022
168;232;NIU;Niue;Alofi;Oceania;260;7.4385;0.9985;0.0;0.3745419479267117;5185;1970
169;232;NIU;Niue;Alofi;Oceania;260;7.4385;0.9985;0.0;0.3745419479267117;3637;1980
170;232;NIU;Niue;Alofi;Oceania;260;7.4385;0.9985;0.0;0.3745419479267117;2533;1990
171;232;NIU;Niue;Alofi;Oceania;260;7.4385;0.9985;0.0;0.3745419479267117;2074;2000
172;232;NIU;Niue;Alofi;Oceania;260;7.4385;0.9985;0.0;0.3745419479267117;1812;2010
173;232;NIU;Niue;Alofi;Oceania;260;7.4385;0.9985;0.0;0.3745419479267117;1847;2015
174;232;NIU;Niue;Alofi;Oceania;260;7.4385;0.9985;0.0;0.3745419479267117;1942;2020
175;232;NIU;Niue;Alofi;Oceania;260;7.4385;0.9985;0.0;0.3745419479267117;1934;2022
176;233;TKL;Tokelau;Nukunonu;Oceania;12;155.9167;1.0119;0.0;1.0659276546091014;1714;1970
177;233;TKL;Tokelau;Nukunonu;Oceania;12;155.9167;1.0119;0.0;1.0659276546091014;1647;1980
178;233;TKL;Tokelau;Nukunonu;Oceania;12;155.9167;1.0119;0.0;1.0659276546091014;1669;1990
179;233;TKL;Tokelau;Nukunonu;Oceania;12;155.9167;1.0119;0.0;1.0659276546091014;1666;2000
180;233;TKL;Tokelau;Nukunonu;Oceania;12;155.9167;1.0119;0.0;1.0659276546091014;1367;2010
181;233;TKL;Tokelau;Nukunonu;Oceania;12;155.9167;1.0119;0.0;1.0659276546091014;1454;2015
182;233;TKL;Tokelau;Nukunonu;Oceania;12;155.9167;1.0119;0.0;1.0659276546091014;1827;2020
183;233;TKL;Tokelau;Nukunonu;Oceania;12;155.9167;1.0119;0.0;1.0659276546091014;1871;2022
