;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
74;34;DZA;Algeria;Algiers;Africa;2381741;18.8531;1.0164;0.56;2.1496037776399755;0.3583280268108349;0.3617353788370137;0.20599309336590216;0.3359349250799872;0.21182644834063394;0.03340629102690792;25518074;1990
75;34;DZA;Algeria;Algiers;Africa;2381741;18.8531;1.0164;0.56;2.1496037776399755;0.3583280268108349;0.3617353788370137;0.20599309336590216;0.3359349250799872;0.21182644834063394;0.03340629102690792;30774621;2000
76;34;DZA;Algeria;Algiers;Africa;2381741;18.8531;1.0164;0.56;2.1496037776399755;0.3583280268108349;0.3617353788370137;0.20599309336590216;0.3359349250799872;0.21182644834063394;0.03340629102690792;35856344;2010
77;34;DZA;Algeria;Algiers;Africa;2381741;18.8531;1.0164;0.56;2.1496037776399755;0.3583280268108349;0.3617353788370137;0.20599309336590216;0.3359349250799872;0.21182644834063394;0.03340629102690792;39543154;2015
78;34;DZA;Algeria;Algiers;Africa;2381741;18.8531;1.0164;0.56;2.1496037776399755;0.3583280268108349;0.3617353788370137;0.20599309336590216;0.3359349250799872;0.21182644834063394;0.03340629102690792;43451666;2020
79;34;DZA;Algeria;Algiers;Africa;2381741;18.8531;1.0164;0.56;2.1496037776399755;0.3583280268108349;0.3617353788370137;0.20599309336590216;0.3359349250799872;0.21182644834063394;0.03340629102690792;44903225;2022
80;40;MAR;Morocco;Rabat;Africa;446550;83.883;1.0103;0.47;1.4019856555607502;0.28833257792753353;0.24861569339527048;0.1621273515806192;0.27645640787948206;0.13010702493295445;0.020965515008242848;15274351;1970
81;40;MAR;Morocco;Rabat;Africa;446550;83.883;1.0103;0.47;1.4019856555607502;0.28833257792753353;0.24861569339527048;0.1621273515806192;0.27645640787948206;0.13010702493295445;0.020965515008242848;19678444;1980
82;40;MAR;Morocco;Rabat;Africa;446550;83.883;1.0103;0.47;1.4019856555607502;0.28833257792753353;0.24861569339527048;0.1621273515806192;0.27645640787948206;0.13010702493295445;0.020965515008242848;24570814;1990
83;40;MAR;Morocco;Rabat;Africa;446550;83.883;1.0103;0.47;1.4019856555607502;0.28833257792753353;0.24861569339527048;0.1621273515806192;0.27645640787948206;0.13010702493295445;0.020965515008242848;28554415;2000
84;40;MAR;Morocco;Rabat;Africa;446550;83.883;1.0103;0.47;1.4019856555607502;0.28833257792753353;0.24861569339527048;0.1621273515806192;0.27645640787948206;0.13010702493295445;0.020965515008242848;32464865;2010
85;40;MAR;Morocco;Rabat;Africa;446550;83.883;1.0103;0.47;1.4019856555607502;0.28833257792753353;0.24861569339527048;0.1621273515806192;0.27645640787948206;0.13010702493295445;0.020965515008242848;34680458;2015
86;40;MAR;Morocco;Rabat;Africa;446550;83.883;1.0103;0.47;1.4019856555607502;0.28833257792753353;0.24861569339527048;0.1621273515806192;0.27645640787948206;0.13010702493295445;0.020965515008242848;36688772;2020
87;40;MAR;Morocco;Rabat;Africa;446550;83.883;1.0103;0.47;1.4019856555607502;0.28833257792753353;0.24861569339527048;0.1621273515806192;0.27645640787948206;0.13010702493295445;0.020965515008242848;37457971;2022
88;42;AGO;Angola;Luanda;Africa;1246700;28.5466;1.0315;0.45;4.543971507703534;0.38150272816226344;0.41999654983939466;0.3859636248907102;0.7036417820061922;0.43075758901926176;0.06463056880980397;6029700;1970
89;42;AGO;Angola;Luanda;Africa;1246700;28.5466;1.0315;0.45;4.543971507703534;0.38150272816226344;0.41999654983939466;0.3859636248907102;0.7036417820061922;0.43075758901926176;0.06463056880980397;8330047;1980
90;42;AGO;Angola;Luanda;Africa;1246700;28.5466;1.0315;0.45;4.543971507703534;0.38150272816226344;0.41999654983939466;0.3859636248907102;0.7036417820061922;0.43075758901926176;0.06463056880980397;11828638;1990
91;42;AGO;Angola;Luanda;Africa;1246700;28.5466;1.0315;0.45;4.543971507703534;0.38150272816226344;0.41999654983939466;0.3859636248907102;0.7036417820061922;0.43075758901926176;0.06463056880980397;16394062;2000
92;42;AGO;Angola;Luanda;Africa;1246700;28.5466;1.0315;0.45;4.543971507703534;0.38150272816226344;0.41999654983939466;0.3859636248907102;0.7036417820061922;0.43075758901926176;0.06463056880980397;23364185;2010
93;42;AGO;Angola;Luanda;Africa;1246700;28.5466;1.0315;0.45;4.543971507703534;0.38150272816226344;0.41999654983939466;0.3859636248907102;0.7036417820061922;0.43075758901926176;0.06463056880980397;28127721;2015
94;42;AGO;Angola;Luanda;Africa;1246700;28.5466;1.0315;0.45;4.543971507703534;0.38150272816226344;0.41999654983939466;0.3859636248907102;0.7036417820061922;0.43075758901926176;0.06463056880980397;33428485;2020
95;42;AGO;Angola;Luanda;Africa;1246700;28.5466;1.0315;0.45;4.543971507703534;0.38150272816226344;0.41999654983939466;0.3859636248907102;0.7036417820061922;0.43075758901926176;0.06463056880980397;35588987;2022
96;47;GHA;Ghana;Accra;Africa;238533;140.3406;1.0196;0.42;2.631322758845597;0.33890618202991574;0.3018678247378942;0.27309671235455574;0.5150001764511275;0.25828952411950257;0.04025645920322746;8861895;1970
97;47;GHA;Ghana;Accra;Africa;238533;140.3406;1.0196;0.42;2.631322758845597;0.33890618202991574;0.3018678247378942;0.27309671235455574;0.5150001764511275;0.25828952411950257;0.04025645920322746;11865246;1980
98;47;GHA;Ghana;Accra;Africa;238533;140.3406;1.0196;0.42;2.631322758845597;0.33890618202991574;0.3018678247378942;0.27309671235455574;0.5150001764511275;0.25828952411950257;0.04025645920322746;15446982;1990
