;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;value;Year
1035;130;HRV;Croatia;Zagreb;Europe;56594;71.2153;0.9927;0.05;0.9119069909483025;4548434;2000
1036;130;HRV;Croatia;Zagreb;Europe;56594;71.2153;0.9927;0.05;0.9119069909483025;4368682;2010
1037;130;HRV;Croatia;Zagreb;Europe;56594;71.2153;0.9927;0.05;0.9119069909483025;4254815;2015
1038;130;HRV;Croatia;Zagreb;Europe;56594;71.2153;0.9927;0.05;0.9119069909483025;4096868;2020
1039;130;HRV;Croatia;Zagreb;Europe;56594;71.2153;0.9927;0.05;0.9119069909483025;4030358;2022
1120;141;LTU;Lithuania;Vilnius;Europe;65300;42.1142;0.9869;0.03;0.8785476179128245;3210147;1970
1121;141;LTU;Lithuania;Vilnius;Europe;65300;42.1142;0.9869;0.03;0.8785476179128245;3521206;1980
1122;141;LTU;Lithuania;Vilnius;Europe;65300;42.1142;0.9869;0.03;0.8785476179128245;3785847;1990
1123;141;LTU;Lithuania;Vilnius;Europe;65300;42.1142;0.9869;0.03;0.8785476179128245;3599637;2000
1124;141;LTU;Lithuania;Vilnius;Europe;65300;42.1142;0.9869;0.03;0.8785476179128245;3139019;2010
1125;141;LTU;Lithuania;Vilnius;Europe;65300;42.1142;0.9869;0.03;0.8785476179128245;2963765;2015
1126;141;LTU;Lithuania;Vilnius;Europe;65300;42.1142;0.9869;0.03;0.8785476179128245;2820267;2020
1127;141;LTU;Lithuania;Vilnius;Europe;65300;42.1142;0.9869;0.03;0.8785476179128245;2750055;2022
1176;148;SVN;Slovenia;Ljubljana;Europe;20273;104.5649;1.0002;0.03;1.2161362349435991;1741286;1970
1177;148;SVN;Slovenia;Ljubljana;Europe;20273;104.5649;1.0002;0.03;1.2161362349435991;1901570;1980
1178;148;SVN;Slovenia;Ljubljana;Europe;20273;104.5649;1.0002;0.03;1.2161362349435991;1986024;1990
1179;148;SVN;Slovenia;Ljubljana;Europe;20273;104.5649;1.0002;0.03;1.2161362349435991;1984339;2000
1180;148;SVN;Slovenia;Ljubljana;Europe;20273;104.5649;1.0002;0.03;1.2161362349435991;2057286;2010
1181;148;SVN;Slovenia;Ljubljana;Europe;20273;104.5649;1.0002;0.03;1.2161362349435991;2080862;2015
1182;148;SVN;Slovenia;Ljubljana;Europe;20273;104.5649;1.0002;0.03;1.2161362349435991;2117641;2020
1183;148;SVN;Slovenia;Ljubljana;Europe;20273;104.5649;1.0002;0.03;1.2161362349435991;2119844;2022
1200;151;LVA;Latvia;Riga;Europe;64559;28.666;0.9876;0.02;0.7912909493312378;2397414;1970
1201;151;LVA;Latvia;Riga;Europe;64559;28.666;0.9876;0.02;0.7912909493312378;2572037;1980
1202;151;LVA;Latvia;Riga;Europe;64559;28.666;0.9876;0.02;0.7912909493312378;2689391;1990
1203;151;LVA;Latvia;Riga;Europe;64559;28.666;0.9876;0.02;0.7912909493312378;2392530;2000
1204;151;LVA;Latvia;Riga;Europe;64559;28.666;0.9876;0.02;0.7912909493312378;2101530;2010
1205;151;LVA;Latvia;Riga;Europe;64559;28.666;0.9876;0.02;0.7912909493312378;1991955;2015
1206;151;LVA;Latvia;Riga;Europe;64559;28.666;0.9876;0.02;0.7912909493312378;1897052;2020
1207;151;LVA;Latvia;Riga;Europe;64559;28.666;0.9876;0.02;0.7912909493312378;1850651;2022
1240;156;EST;Estonia;Tallinn;Europe;45227;29.3201;0.998;0.02;0.9760976329644883;1361999;1970
1241;156;EST;Estonia;Tallinn;Europe;45227;29.3201;0.998;0.02;0.9760976329644883;1476983;1980
1242;156;EST;Estonia;Tallinn;Europe;45227;29.3201;0.998;0.02;0.9760976329644883;1570674;1990
1243;156;EST;Estonia;Tallinn;Europe;45227;29.3201;0.998;0.02;0.9760976329644883;1396877;2000
1244;156;EST;Estonia;Tallinn;Europe;45227;29.3201;0.998;0.02;0.9760976329644883;1331535;2010
1245;156;EST;Estonia;Tallinn;Europe;45227;29.3201;0.998;0.02;0.9760976329644883;1314657;2015
1246;156;EST;Estonia;Tallinn;Europe;45227;29.3201;0.998;0.02;0.9760976329644883;1329444;2020
1247;156;EST;Estonia;Tallinn;Europe;45227;29.3201;0.998;0.02;0.9760976329644883;1326062;2022
1256;158;CYP;Cyprus;Nicosia;Europe;9251;135.2814;1.0059;0.02;1.9312254605152277;640804;1970
1257;158;CYP;Cyprus;Nicosia;Europe;9251;135.2814;1.0059;0.02;1.9312254605152277;679327;1980
1258;158;CYP;Cyprus;Nicosia;Europe;9251;135.2814;1.0059;0.02;1.9312254605152277;788500;1990
1259;158;CYP;Cyprus;Nicosia;Europe;9251;135.2814;1.0059;0.02;1.9312254605152277;948237;2000
1260;158;CYP;Cyprus;Nicosia;Europe;9251;135.2814;1.0059;0.02;1.9312254605152277;1129686;2010
1261;158;CYP;Cyprus;Nicosia;Europe;9251;135.2814;1.0059;0.02;1.9312254605152277;1187280;2015
1262;158;CYP;Cyprus;Nicosia;Europe;9251;135.2814;1.0059;0.02;1.9312254605152277;1237537;2020
1263;158;CYP;Cyprus;Nicosia;Europe;9251;135.2814;1.0059;0.02;1.9312254605152277;1251488;2022
1336;168;LUX;Luxembourg;Luxembourg;Europe;2586;250.425;1.0129;0.01;1.8577099209646906;339342;1970
1337;168;LUX;Luxembourg;Luxembourg;Europe;2586;250.425;1.0129;0.01;1.8577099209646906;363741;1980
1338;168;LUX;Luxembourg;Luxembourg;Europe;2586;250.425;1.0129;0.01;1.8577099209646906;381267;1990
1339;168;LUX;Luxembourg;Luxembourg;Europe;2586;250.425;1.0129;0.01;1.8577099209646906;435628;2000
1340;168;LUX;Luxembourg;Luxembourg;Europe;2586;250.425;1.0129;0.01;1.8577099209646906;507070;2010
1341;168;LUX;Luxembourg;Luxembourg;Europe;2586;250.425;1.0129;0.01;1.8577099209646906;569408;2015
1342;168;LUX;Luxembourg;Luxembourg;Europe;2586;250.425;1.0129;0.01;1.8577099209646906;630399;2020
1343;168;LUX;Luxembourg;Luxembourg;Europe;2586;250.425;1.0129;0.01;1.8577099209646906;647599;2022
1376;173;MLT;Malta;Valletta;Europe;316;1687.6139;1.0124;0.01;1.633906548219166;315414;1970
1377;173;MLT;Malta;Valletta;Europe;316;1687.6139;1.0124;0.01;1.633906548219166;333587;1980
1378;173;MLT;Malta;Valletta;Europe;316;1687.6139;1.0124;0.01;1.633906548219166;365392;1990
1379;173;MLT;Malta;Valletta;Europe;316;1687.6139;1.0124;0.01;1.633906548219166;399212;2000
1380;173;MLT;Malta;Valletta;Europe;316;1687.6139;1.0124;0.01;1.633906548219166;418755;2010
1381;173;MLT;Malta;Valletta;Europe;316;1687.6139;1.0124;0.01;1.633906548219166;456579;2015
1382;173;MLT;Malta;Valletta;Europe;316;1687.6139;1.0124;0.01;1.633906548219166;515357;2020
1383;173;MLT;Malta;Valletta;Europe;316;1687.6139;1.0124;0.01;1.633906548219166;533286;2022
